ZNF207	ZNF207
UQCRC1	UQCRC1
STARD3NL	STARD3NL
CD9	CD9
NCAPD2	NCAPD2
IFFO1	IFFO1
GIPR	GIPR
PHF7	PHF7
SEMA3G	SEMA3G
NISCH	NISCH
STAB1	STAB1
FUZ	FUZ
SLC6A13	SLC6A13
IDS	IDS
PRSS3	PRSS3
ZNF200	ZNF200
CD4	CD4
LRRC23	LRRC23
BTK	BTK
HFE	HFE
SCMH1	SCMH1
FYN	FYN
HIVEP2	HIVEP2
FMO1	FMO1
TCEB3	TCEB3
LYPLA2	LYPLA2
CLCN6	CLCN6
MRC2	MRC2
SLC6A7	SLC6A7
TSPAN9	TSPAN9
BTBD7	BTBD7
APBA3	APBA3
MKS1	MKS1
ABHD5	ABHD5
KAL1	KAL1
AKAP8L	AKAP8L
MBTD1	MBTD1
UTP18	UTP18
RNF216	RNF216
TTC19	TTC19
PTBP1	PTBP1
DPF1	DPF1
SYT7	SYT7
LARS2	LARS2
PIK3C2A	PIK3C2A
PLAUR	PLAUR
ANLN	ANLN
WIZ	WIZ
RABGAP1	RABGAP1
DCN	DCN
QPCTL	QPCTL
PPP5C	PPP5C
CEP68	CEP68
MAP4K3	MAP4K3
ZBTB32	ZBTB32
TYROBP	TYROBP
TMEM159	TMEM159
BRCA1	BRCA1
ERCC1	ERCC1
CD22	CD22
SEMA3B	SEMA3B
MBTPS2	MBTPS2
PRICKLE3	PRICKLE3
LTF	LTF
EXTL3	EXTL3
NR1H4	NR1H4
ELOVL5	ELOVL5
ALOX5	ALOX5
KDM5D	KDM5D
CALCOCO1	CALCOCO1
UBR7	UBR7
MAP4K5	MAP4K5
EHD3	EHD3
PSMC4	PSMC4
MAN2B2	MAN2B2
SLC7A14	SLC7A14
CLDN11	CLDN11
SLC25A39	SLC25A39
MVP	MVP
NUB1	NUB1
PGM3	PGM3
RWDD2A	RWDD2A
CLK1	CLK1
POLR3B	POLR3B
ANGEL1	ANGEL1
RNF14	RNF14
DNASE1L1	DNASE1L1
DDX11	DDX11
HEBP1	HEBP1
GPRC5A	GPRC5A
MAMLD1	MAMLD1
CD6	CD6
TACC3	TACC3
UFL1	UFL1
POLA2	POLA2
ZC3H3	ZC3H3
CAPN1	CAPN1
ACPP	ACPP
MDH1	MDH1
SLC30A9	SLC30A9
MTMR11	MTMR11
COX15	COX15
CCDC88C	CCDC88C
YAF2	YAF2
ZMYND11	ZMYND11
WAS	WAS
DPEP1	DPEP1
BID	BID
MATR3	MATR3
NPC1L1	NPC1L1
XYLT2	XYLT2
STMN4	STMN4
NUDCD3	NUDCD3
ISL1	ISL1
CHDH	CHDH
IL20RA	IL20RA
CLCA1	CLCA1
GLT8D1	GLT8D1
ATP2C1	ATP2C1
SRCIN1	SRCIN1
IGF1	IGF1
SLC38A5	SLC38A5
MAGIX	MAGIX
RALBP1	RALBP1
RUFY3	RUFY3
CNTN1	CNTN1
SLC11A1	SLC11A1
WWTR1	WWTR1
AGPS	AGPS
CXorf56	CXorf56
ATP1A2	ATP1A2
TTC27	TTC27
ZNF582	ZNF582
VSIG2	VSIG2
PHLDB1	PHLDB1
MARCO	MARCO
CYP24A1	CYP24A1
PRDM11	PRDM11
SYT13	SYT13
SNAI2	SNAI2
CD74	CD74
HGF	HGF
ZRANB1	ZRANB1
NCDN	NCDN
GPR124	GPR124
ZFP64	ZFP64
MNAT1	MNAT1
SAMD4A	SAMD4A
RUNX3	RUNX3
MRE11A	MRE11A
PLEKHB1	PLEKHB1
SERPINB1	SERPINB1
CYP3A43	CYP3A43
SLC7A9	SLC7A9
SPAST	SPAST
NRXN3	NRXN3
OSBPL5	OSBPL5
AQR	AQR
CPS1	CPS1
C8B	C8B
FHL1	FHL1
RTFDC1	RTFDC1
GABRA1	GABRA1
NLRP2	NLRP2
SLC45A4	SLC45A4
RNF10	RNF10
ZNF839	ZNF839
ZDHHC6	ZDHHC6
GRAMD1B	GRAMD1B
RNH1	RNH1
NDUFS1	NDUFS1
RB1CC1	RB1CC1
ERP44	ERP44
ALAS1	ALAS1
BIRC3	BIRC3
AKAP11	AKAP11
GLRX2	GLRX2
SNAPC1	SNAPC1
DERA	DERA
STRAP	STRAP
ABCC2	ABCC2
DEF6	DEF6
PLEKHO1	PLEKHO1
GCLM	GCLM
UBR2	UBR2
EHD2	EHD2
DEPDC1	DEPDC1
CCDC28A	CCDC28A
RRAGD	RRAGD
HSF2	HSF2
PHF20	PHF20
HSD17B6	HSD17B6
NR1H3	NR1H3
TYMP	TYMP
NCAPH2	NCAPH2
TOMM34	TOMM34
SEC63	SEC63
KPNA6	KPNA6
VIM	VIM
RTEL1-TNFRSF6B	RTEL1-TNFRSF6B
FAS	FAS
RNASET2	RNASET2
CD44	CD44
AGPAT4	AGPAT4
SLAMF7	SLAMF7
BTN3A1	BTN3A1
MIPEP	MIPEP
PRKCH	PRKCH
INSRR	INSRR
IFNGR1	IFNGR1
B4GALT7	B4GALT7
SH2D2A	SH2D2A
VRK2	VRK2
TNFRSF1B	TNFRSF1B
VEZT	VEZT
POU2F2	POU2F2
BRD9	BRD9
SNX1	SNX1
